order_id,customer_id,product_id,order_date,quantity,price,discount,revenue,status
O000001,C0154,P010,2026-07-10,4,1599,0,6396.0,Returned
O000002,C0079,P010,2026-04-04,4,1599,50,6346.0,Completed
O000003,C0094,P004,2026-09-07,4,5499,150,21846.0,Completed
O000004,C0111,P002,2026-08-15,1,3999,300,3699.0,Completed
O000005,C0237,P003,2026-03-22,1,2999,200,2799.0,Completed
O000006,C0134,P014,2026-04-15,4,5999,100,23896.0,Completed
O000007,C0080,P011,2026-07-21,3,1299,0,3897.0,Completed
O000008,C0145,P013,2026-07-25,4,3499,500,13496.0,Completed
O000009,C0119,P002,2026-06-24,4,3999,50,15946.0,Completed
O000010,C0174,P003,2026-05-28,4,2999,0,11996.0,Completed
O000011,C0118,P004,2026-04-29,3,5499,0,16497.0,Completed
O000012,C0334,P002,2026-08-07,1,3999,200,3799.0,Completed
O000013,C0387,P010,2026-06-29,2,1599,0,3198.0,Completed
O000014,C0201,P009,2026-07-21,4,1499,100,5896.0,Completed
O000015,C0189,P015,2026-04-21,1,1199,50,1149.0,Returned
O000016,C0220,P003,2026-05-10,2,2999,100,5898.0,Completed
O000017,C0206,P002,2026-08-29,4,3999,100,15896.0,Completed
O000018,C0295,P005,2026-04-13,3,999,0,2997.0,Completed
O000019,C0189,P009,2026-08-02,3,1499,150,4347.0,Completed
O000020,C0458,P001,2026-07-06,4,2499,0,9996.0,Completed
O000021,C0276,P010,2026-08-13,1,1599,0,1599.0,Completed
O000022,C0403,P005,2026-05-28,3,999,300,2697.0,Completed
O000023,C0236,P010,2026-05-05,4,1599,0,6396.0,Completed
O000024,C0070,P010,2026-07-01,4,1599,0,6396.0,Completed
O000025,C0151,P012,2026-07-21,2,899,0,1798.0,Completed
O000026,C0473,P006,2026-06-07,1,2799,200,2599.0,Completed
O000027,C0442,P008,2026-04-25,1,2299,100,2199.0,Completed
O000028,C0382,P008,2026-07-06,3,2299,150,6747.0,Completed
O000029,C0049,P004,2026-07-04,4,5499,100,21896.0,Completed
O000030,C0390,P009,2026-07-31,3,1499,0,4497.0,Completed
O000031,C0036,P005,2026-08-03,4,999,50,3946.0,Completed
O000032,C0019,P003,2026-04-05,2,2999,100,5898.0,Completed
O000033,C0224,P001,2026-05-31,3,2499,100,7397.0,Completed
O000034,C0226,P009,2026-09-12,4,1499,0,5996.0,Completed
O000035,C0175,P008,2026-07-21,4,2299,50,9146.0,Completed
O000036,C0161,P006,2026-09-14,2,2799,150,5448.0,Completed
O000037,C0018,P007,2026-08-15,1,1799,50,1749.0,Completed
O000038,C0100,P014,2026-09-11,2,5999,100,11898.0,Completed
